page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     241    86  gray    1   8  jpeg   no      7883  0   200   200 2197B  11%
   1     1 image     241    86  gray    1   8  image  no      7885  0   200   200 1180B 5.7%
   1     2 image     376   272  gray    1   8  jpeg   no      7878  0   200   200 4262B 4.2%
   1     3 image     843  1209  cmyk    4   8  jpeg   no      7892  0   200   200  430K  11%
   1     4 image     241    86  gray    1   8  jpeg   no      7883  0   200   200 2197B  11%
   1     5 image     241    86  gray    1   8  image  no      7885  0   200   200 1180B 5.7%
   1     6 image     376   272  gray    1   8  jpeg   no      7878  0   200   200 4262B 4.2%
   3     7 image     345   345  cmyk    4   8  jpeg   no        13  0   200   200  130K  28%
   3     8 image     896   644  cmyk    4   8  jpeg   no        14  0   200   200  391K  17%
   4     9 image     423   644  cmyk    4   8  jpeg   no        19  0   200   200  178K  17%
   5    10 image     327  1255  cmyk    4   8  jpeg   no        30  0   200   200  249K  16%
   5    11 image     156   156  cmyk    4   8  jpeg   no        31  0   201   201 14.5K  15%
   6    12 image     904  1255  cmyk    4   8  jpeg   no        36  0   200   200  773K  17%
   7    13 image      43  1257  cmyk    4   8  jpeg   no        42  0   204   200 34.0K  16%
   7    14 image     345   345  cmyk    4   8  jpeg   no        43  0   200   200  112K  24%
   7    15 image     345   345  cmyk    4   8  jpeg   no        44  0   200   200  140K  30%
   8    16 image     857  1257  cmyk    4   8  jpeg   no        48  0   200   200  668K  16%
   9    17 image     345   345  cmyk    4   8  jpeg   no        54  0   200   200  103K  22%
   9    18 image     345   343  cmyk    4   8  jpeg   no        55  0   200   200  101K  22%
  10    19 image     708   490  cmyk    4   8  jpeg   no        62  0   200   200  233K  17%
  11    20 image      46  1258  cmyk    4   8  jpeg   no        66  0   203   200 13.6K 6.0%
  11    21 image     346   344  cmyk    4   8  jpeg   no        67  0   200   200 61.2K  13%
  11    22 image     345   344  cmyk    4   8  jpeg   no        68  0   200   200  129K  28%
  12    23 image     865  1258  cmyk    4   8  jpeg   no        71  0   200   200  220K 5.2%
  13    24 image     708   512  cmyk    4   8  jpeg   no        77  0   200   200  332K  23%
  14    25 image     345   344  cmyk    4   8  jpeg   no        81  0   200   200  116K  25%
  14    26 image     345   345  cmyk    4   8  jpeg   no        82  0   200   200  121K  26%
  15    27 image      46  1252  cmyk    4   8  jpeg   no        85  0   203   200 29.9K  13%
  15    28 image     346   345  cmyk    4   8  jpeg   no        86  0   200   200  115K  25%
  15    29 image     345   345  cmyk    4   8  jpeg   no        87  0   200   200  116K  25%
  16    30 image     864  1252  cmyk    4   8  jpeg   no        90  0   200   200  475K  11%
  17    31 image     707   500  cmyk    4   8  jpeg   no        95  0   200   200  224K  16%
  18    32 image     707   479  cmyk    4   8  jpeg   no       101  0   200   200  292K  22%
  19    33 image     345   345  cmyk    4   8  jpeg   no       105  0   200   200 78.5K  17%
  19    34 image     346   345  cmyk    4   8  jpeg   no       106  0   200   200  142K  31%
  21    35 image     345   496  cmyk    4   8  jpeg   no       115  0   200   200  140K  21%
  21    36 image     345   344  cmyk    4   8  jpeg   no       116  0   200   200 94.2K  20%
  22    37 image     346   341  cmyk    4   8  jpeg   no       123  0   200   200  108K  23%
